title,index,text_id,speaker_id
ARMS,2,00000001,00000002
ARMS,3,00000018,00000012
ARMS,3,00000016,00000019
ARMS,3,00000007,00000006
ARMS,3,0000001e,00000011
ARMS,3,0000000b,00000008
ARMS,3,0000001b,00000019
ARMS,3,00000013,00000019
ARMS,3,00000017,00000019
ARMS,3,0000001a,00000012
ARMS,4,00000024,0000002c
ARMS,4,0000003c,00000025
ARMS,4,00000032,00000025
ARMS,4,0000003a,0000002f
ARMS,4,0000002a,0000002c
ARMS,4,00000021,00000025
ARMS,4,0000003f,0000002f
ARMS,4,0000003b,00000033
ARMS,4,00000037,00000033
ARMS,4,00000035,0000002c
ARMS,5,00000051,0000004b
ARMS,5,00000049,00000052
ARMS,5,0000004f,00000052
ARMS,5,00000044,00000043
ARMS,5,00000048,0000004b
ARMS,5,00000046,0000004b
ARMS,6,00000067,00000065
ARMS,6,00000069,00000065
ARMS,6,00000055,00000072
ARMS,6,0000006d,0000005f
ARMS,6,0000006a,00000072
ARMS,6,00000064,0000006e
ARMS,6,00000070,0000006b
ARMS,6,0000005e,00000076
ARMS,7,00000082,00000087
ARMS,7,0000008b,00000081
ARMS,7,0000007c,00000081
ARMS,7,00000085,00000081
ARMS,7,00000084,00000077
ARMS,8,000000aa,000000a2
ARMS,8,00000095,000000a6
ARMS,8,00000093,0000009c
ARMS,8,000000a3,0000009c
ARMS,8,0000009d,000000a2
ARMS,8,000000a8,0000009c
ARMS,8,0000009e,0000009c
ARMS,9,000000c1,000000c6
ARMS,9,000000c7,000000c2
ARMS,9,000000c0,000000c3
ARMS,9,000000b8,000000b7
ARMS,9,000000be,000000c2
ARMS,9,000000b3,000000c3
ARMS,9,000000bd,000000c2
ARMS,9,000000bf,000000c6
ARMS,9,000000cb,000000c3
ARMS,10,000000de,000000d8
ARMS,10,000000dc,000000d1
ARMS,11,000000f1,000000fb
ARMS,11,000000e5,000000e9
ARMS,11,000000f6,000000f9
ARMS,11,000000ee,000000f9
ARMS,11,000000fa,000000ec
ARMS,12,00000108,00000115
ARMS,12,00000118,00000109
ARMS,12,00000119,0000011f
ARMS,12,00000104,00000111
ARMS,12,00000117,0000011f
ARMS,12,00000121,0000011a
ARMS,12,00000102,0000011a
ARMS,12,0000010f,0000011f
ARMS,12,00000110,0000011a
ARMS,13,00000145,00000138
ARMS,13,00000147,00000136
ARMS,13,00000144,0000012f
ARMS,13,00000132,00000142
ARMS,13,0000013e,00000124
ARMS,13,00000133,00000124
ARMS,13,00000141,00000148
ARMS,13,00000130,00000127
ARMS,13,00000146,0000012f
ARMS,13,0000014a,00000142
ARMS,13,0000013a,00000148
ARMS,13,00000137,00000127
ARMS,13,0000013c,00000138
ARMS,14,00000185,00000171
ARMS,14,00000159,0000014f
ARMS,14,0000017e,00000177
ARMS,14,00000178,00000177
ARMS,14,00000181,0000016e
ARMS,14,00000160,00000174
ARMS,14,00000157,00000177
ARMS,14,0000017c,00000171
ARMS,14,0000016c,00000177
ARMS,14,00000162,00000174
ARMS,14,00000167,00000180
ARMS,14,00000187,00000155
ARMS,14,0000017a,00000180
ARMS,14,00000186,00000177
ARMS,14,00000151,00000155
ARMS,14,0000017d,00000177
ARMS,14,00000176,00000180
ARMS,14,0000016d,00000180
ARMS,14,00000184,00000174
ARMS,14,00000182,00000180
ARMS,14,00000163,00000177
ARMS,14,00000158,00000156
ARMS,15,0000018a,00000194
ARMS,15,0000019d,00000196
ARMS,15,00000190,00000196
ARMS,15,00000197,00000196
ARMS,15,00000193,00000196
ARMS,15,00000195,00000194
ARMS,15,00000189,0000018d
ARMS,15,0000019b,00000196
ARMS,16,000001ae,000001aa
ARMS,17,000001b9,000001cf
ARMS,17,000001bd,000001c1
ARMS,17,000001d6,000001d5
ARMS,17,000001c9,000001b7
ARMS,17,000001d0,000001c6
ARMS,17,000001bc,000001c1
ARMS,17,000001c8,000001c1
ARMS,17,000001d8,000001d9
ARMS,17,000001c5,000001d9
ARMS,18,000001e6,000001e7
ARMS,18,000001e1,000001e7
ARMS,18,000001df,000001e7
ARMS,18,000001de,000001db
ARMS,19,00000208,000001fd
ARMS,19,000001fa,00000211
ARMS,19,000001f2,000001f3
ARMS,19,00000202,000001f3
ARMS,19,00000204,00000215
ARMS,19,00000212,000001ee
ARMS,19,00000214,000001ee
ARMS,19,000001f6,00000217
ARMS,19,00000209,000001f5
ARMS,19,00000216,000001f7
ARMS,19,000001f4,00000211
ARMS,19,000001ef,00000215
ARMS,19,00000201,00000203
ARMS,20,00000241,00000228
ARMS,20,00000234,0000023e
ARMS,20,00000222,00000235
ARMS,20,0000021d,00000232
ARMS,20,00000230,00000219
ARMS,20,0000022c,00000235
ARMS,20,0000022a,00000235
ARMS,20,00000233,00000219
ARMS,21,00000248,00000267
ARMS,21,00000256,0000025f
ARMS,21,0000025b,00000259
ARMS,21,00000265,0000025f
ARMS,21,0000025d,00000267
ARMS,21,00000258,00000262
ARMS,21,0000024c,00000251
ARMS,21,00000244,0000025f
ARMS,21,00000249,00000259
ARMS,21,00000246,00000259
ARMS,21,0000025a,00000267
ARMS,22,00000268,00000269
ARMS,22,0000026a,00000269
ARMS,22,0000026b,00000269
ARMS,22,0000026c,0000026f
ARMS,22,00000273,00000269
ARMS,23,00000291,0000027a
ARMS,23,0000028a,0000027a
